centroid_lat,centroid_lon,car_hours,peak_hour
45.47154850514618,-73.58868408217266,1772.7499999995052,2
45.543865066744225,-73.56245583980697,986.3333333335023,23
45.4876395818664,-73.6427670307733,354.74999999998914,20
45.52286967122903,-73.59567725081808,560.166666666642,23
45.45397130964701,-73.73894559925054,2836.666666667356,19
45.57312570194822,-73.5399023645427,1022.7500000001857,1
45.53005389171565,-73.62803605045727,835.7500000001005,18
45.49919320522112,-73.56194373919256,1888.3333333327332,14
45.55130065162754,-73.61171191446698,1030.75000000018,2
45.55380992033989,-73.57720679008476,1841.1666666661097,1
45.47448282698679,-73.63054396371925,1966.166666665996,2
45.532495802891596,-73.5795698515998,1532.9999999997233,3
45.56545642757568,-73.64201176723445,834.1666666667667,21
45.502981092849524,-73.62748995674825,289.0000000000041,11
45.567118568380785,-73.58439300639695,273.58333333334093,1
45.480026123563874,-73.58239204679344,594.8333333333244,5
45.44890318504734,-73.59297686556374,1020.9166666668516,6
45.503030898950044,-73.5790295367978,1428.4999999998183,15
45.609667861846745,-73.54023161013792,670.7500000000256,0
45.4783482754511,-73.57856784133362,489.4999999999585,14
45.51951352944332,-73.5793289407554,1426.3333333331534,2
45.56903061932889,-73.52573081459545,422.49999999997374,23
45.536260211315536,-73.56209061086564,1624.7499999996398,3
45.56857291481607,-73.5608434095333,732.7500000000537,20
45.546145398119506,-73.59114755541647,1969.6666666659928,3
45.54488834188077,-73.63562160484223,1657.9999999996094,2
45.54515565293561,-73.6172218179539,665.5833333333567,5
45.47817195218011,-73.5677884080307,805.08333333342,3
45.58212955989256,-73.5214125066963,217.75000000000728,9
45.531215706332375,-73.60636943656155,1332.583333333239,5
45.55267826328372,-73.60186065688765,630.5000000000073,10
45.52915993898732,-73.61182738988052,559.9999999999752,11
45.524044185240705,-73.57255202228934,456.16666666663286,3
45.50851711032711,-73.56361361279801,1185.8333333333726,13
45.48805868783629,-73.62175707085049,1112.6666666667722,20
45.50689566111847,-73.63992985736495,1016.5833333335162,13
45.57894266654677,-73.57226220211079,1367.249999999874,9
45.46892041666329,-73.61587858172172,1767.9999999995096,4
45.5386616499238,-73.65684895574016,2291.9999999996985,11
45.58530574012526,-73.556671023514,552.8333333333053,17
45.46252493114867,-73.591450603879,1397.9166666665128,1
45.50814302347108,-73.61443790111136,997.7500000001744,16
45.552242186431826,-73.5567248443471,926.1666666668083,10
